trade_id,entry_time,exit_time,symbol,type,entry_price,exit_price,stop_loss,take_profit,pnl,win,reason,balance_after
1,2026-05-23 20:43:28.023842,2026-05-23 21:03:28.023842,BTCUSD,BUY,119713.07,120321.5,119256.25,120474.43,1.67,True,Take Profit Hit (TP),101.67
2,2026-05-26 14:03:28.023842,2026-05-26 14:23:28.023842,BTCUSD,SELL,129152.27,128356.57,129682.43,128268.67,1.67,True,Take Profit Hit (TP),103.33
3,2026-05-27 02:08:28.023842,2026-05-27 02:18:28.023842,BTCUSD,SELL,130530.94,129788.45,131061.13,129647.29,1.67,True,Take Profit Hit (TP),105.0
4,2026-06-01 13:43:28.023842,2026-06-01 14:13:28.023842,BTCUSD,SELL,123230.7,122469.57,123618.58,122584.23,1.67,True,Take Profit Hit (TP),106.67
5,2026-06-07 08:23:28.023842,2026-06-07 08:28:28.023842,BTCUSD,SELL,116951.37,116395.75,117292.97,116382.03,1.67,True,Take Profit Hit (TP),108.33
6,2026-06-07 08:33:28.023842,2026-06-07 09:03:28.023842,BTCUSD,SELL,116390.13,116841.6,116762.8,115769.03,-1.0,False,Stop Loss Hit (SL),107.33
7,2026-06-09 00:48:28.023842,2026-06-09 01:28:28.023842,BTCUSD,SELL,122960.14,122517.16,123316.88,122365.57,1.67,True,Take Profit Hit (TP),109.0
8,2026-06-09 15:28:28.023842,2026-06-09 16:13:28.023842,BTCUSD,SELL,123676.44,122916.57,124057.37,123041.55,1.67,True,Take Profit Hit (TP),110.67
9,2026-06-09 19:08:28.023842,2026-06-09 19:33:28.023842,BTCUSD,SELL,125706.68,124987.11,126124.16,125010.89,1.67,True,Take Profit Hit (TP),112.33
10,2026-06-09 20:38:28.023842,2026-06-09 20:53:28.023842,BTCUSD,SELL,126338.03,126673.79,126802.93,125563.19,-1.0,False,Stop Loss Hit (SL),111.33
11,2026-06-10 14:48:28.023842,2026-06-10 15:28:28.023842,BTCUSD,SELL,125110.24,125615.16,125594.98,124302.34,-1.0,False,Stop Loss Hit (SL),110.33
12,2026-06-10 15:38:28.023842,2026-06-10 16:08:28.023842,BTCUSD,SELL,125239.82,125683.46,125662.28,124535.71,-1.0,False,Stop Loss Hit (SL),109.33
13,2026-06-10 16:13:28.023842,2026-06-10 16:23:28.023842,BTCUSD,SELL,125611.99,126153.77,126027.3,124919.81,-1.0,False,Stop Loss Hit (SL),108.33
14,2026-06-10 16:43:28.023842,2026-06-10 17:13:28.023842,BTCUSD,SELL,126095.64,126811.91,126537.78,125358.73,-1.0,False,Stop Loss Hit (SL),107.33
15,2026-06-10 17:33:28.023842,2026-06-10 17:43:28.023842,BTCUSD,SELL,127482.62,127951.53,127897.02,126791.95,-1.0,False,Stop Loss Hit (SL),106.33
16,2026-06-10 17:48:28.023842,2026-06-10 18:03:28.023842,BTCUSD,SELL,127784.22,128058.07,128191.21,127105.91,-1.0,False,Stop Loss Hit (SL),105.33
17,2026-06-10 18:08:28.023842,2026-06-10 18:18:28.023842,BTCUSD,SELL,128189.58,128469.63,128618.51,127474.7,-1.0,False,Stop Loss Hit (SL),104.33
18,2026-06-10 18:23:28.023842,2026-06-10 18:53:28.023842,BTCUSD,SELL,128581.51,128960.03,129008.77,127869.42,-1.0,False,Stop Loss Hit (SL),103.33
19,2026-06-10 18:58:28.023842,2026-06-10 19:08:28.023842,BTCUSD,SELL,128557.63,128879.37,128981.37,127851.39,-1.0,False,Stop Loss Hit (SL),102.33
20,2026-06-10 19:28:28.023842,2026-06-10 19:43:28.023842,BTCUSD,SELL,128861.37,128295.4,129276.65,128169.24,1.67,True,Take Profit Hit (TP),104.0
21,2026-06-11 00:48:28.023842,2026-06-11 01:33:28.023842,BTCUSD,SELL,128178.91,127626.18,128602.94,127472.2,1.67,True,Take Profit Hit (TP),105.67
22,2026-06-11 19:28:28.023842,2026-06-11 19:58:28.023842,BTCUSD,SELL,128735.8,127992.74,129160.33,128028.25,1.67,True,Take Profit Hit (TP),107.33
23,2026-06-12 10:13:28.023842,2026-06-12 10:28:28.023842,BTCUSD,SELL,124058.48,124240.5,124389.08,123507.48,-1.0,False,Stop Loss Hit (SL),106.33
24,2026-06-12 18:38:28.023842,2026-06-12 18:43:28.023842,BTCUSD,SELL,122586.0,122933.75,122943.06,121990.89,-1.0,False,Stop Loss Hit (SL),105.33
25,2026-06-13 08:08:28.023842,2026-06-13 08:43:28.023842,BTCUSD,SELL,125590.75,125931.4,126007.46,124896.24,-1.0,False,Stop Loss Hit (SL),104.33
26,2026-06-13 08:48:28.023842,2026-06-13 09:08:28.023842,BTCUSD,SELL,125910.73,125317.15,126264.89,125320.47,1.67,True,Take Profit Hit (TP),106.0
27,2026-06-18 07:58:28.023842,2026-06-18 08:48:28.023842,BTCUSD,SELL,125334.14,125615.94,125754.02,124634.33,-1.0,False,Stop Loss Hit (SL),105.0
28,2026-06-18 19:18:28.023842,2026-06-18 19:53:28.023842,BTCUSD,SELL,126300.35,125731.73,126723.46,125595.17,1.67,True,Take Profit Hit (TP),106.67
29,2026-06-18 20:18:28.023842,2026-06-18 20:28:28.023842,BTCUSD,SELL,126489.55,126900.96,126891.46,125819.7,-1.0,False,Stop Loss Hit (SL),105.67
30,2026-06-20 01:13:28.023842,2026-06-20 02:08:28.023842,BTCUSD,SELL,126631.02,126136.38,126988.79,126034.73,1.67,True,Take Profit Hit (TP),107.33
