time,open,high,low,close,tick_volume,spread,real_volume
2026-07-22 19:45:00,4147.12,4148.51,4145.74,4147.0,2009,7,0
2026-07-22 19:50:00,4146.92,4147.33,4144.49,4146.71,1895,14,0
2026-07-22 19:55:00,4146.72,4148.97,4145.88,4146.79,1608,8,0
2026-07-22 20:00:00,4146.79,4147.8,4144.39,4146.99,2006,8,0
2026-07-22 20:05:00,4146.99,4147.3,4142.96,4144.34,1969,7,0
2026-07-22 20:10:00,4144.3,4145.88,4143.16,4145.34,1655,8,0
2026-07-22 20:15:00,4145.22,4145.86,4142.77,4142.99,1944,7,0
2026-07-22 20:20:00,4142.95,4145.67,4142.66,4143.58,1904,10,0
2026-07-22 20:25:00,4143.56,4147.09,4143.2,4146.04,1901,8,0
2026-07-22 20:30:00,4146.06,4147.53,4144.3,4144.79,1685,8,0
2026-07-22 20:35:00,4144.8,4145.75,4138.81,4138.98,1944,11,0
2026-07-22 20:40:00,4139.01,4141.39,4138.35,4140.55,1839,17,0
2026-07-22 20:45:00,4140.57,4143.43,4140.38,4143.16,1419,10,0
2026-07-22 20:50:00,4143.16,4143.73,4142.17,4142.67,1416,8,0
2026-07-22 20:55:00,4142.65,4143.37,4141.08,4142.37,1341,11,0
2026-07-22 21:00:00,4142.35,4142.73,4136.62,4137.61,2166,8,0
2026-07-22 21:05:00,4137.63,4141.46,4137.37,4139.22,1539,9,0
2026-07-22 21:10:00,4139.19,4140.53,4137.49,4138.09,1731,8,0
2026-07-22 21:15:00,4138.05,4139.1,4136.61,4138.8,1654,8,0
2026-07-22 21:20:00,4138.82,4139.72,4135.08,4136.66,2029,10,0
2026-07-22 21:25:00,4136.66,4136.81,4134.65,4135.14,1838,14,0
2026-07-22 21:30:00,4135.13,4135.59,4131.86,4132.76,2243,8,0
2026-07-22 21:35:00,4132.76,4136.12,4132.6,4135.77,1657,8,0
2026-07-22 21:40:00,4135.76,4136.26,4133.77,4135.81,2003,7,0
2026-07-22 21:45:00,4135.87,4138.32,4135.28,4137.53,1706,7,0
2026-07-22 21:50:00,4137.53,4138.83,4137.4,4137.54,1558,9,0
2026-07-22 21:55:00,4137.53,4138.03,4135.85,4136.02,1301,15,0
2026-07-22 22:00:00,4135.9,4136.12,4133.03,4134.94,1926,15,0
2026-07-22 22:05:00,4134.98,4137.17,4134.98,4135.58,1536,11,0
2026-07-22 22:10:00,4135.52,4135.8,4134.0,4134.04,1054,8,0
2026-07-22 22:15:00,4134.04,4135.45,4133.18,4134.22,1417,8,0
2026-07-22 22:20:00,4134.23,4134.94,4131.63,4134.21,1436,8,0
2026-07-22 22:25:00,4134.19,4134.99,4132.51,4134.42,1393,8,0
2026-07-22 22:30:00,4134.36,4136.18,4132.58,4135.62,1298,8,0
2026-07-22 22:35:00,4135.6,4136.07,4133.57,4134.49,1158,8,0
2026-07-22 22:40:00,4134.47,4135.96,4133.61,4133.88,1325,8,0
2026-07-22 22:45:00,4133.87,4135.12,4133.19,4135.06,1573,8,0
2026-07-22 22:50:00,4135.12,4135.31,4128.89,4130.51,1810,8,0
2026-07-22 22:55:00,4130.52,4132.91,4129.88,4131.84,1888,11,0
2026-07-23 01:00:00,4123.93,4123.93,4087.25,4120.49,1369,21,0
2026-07-23 01:05:00,4120.82,4125.62,4119.46,4123.17,751,8,0
2026-07-23 01:10:00,4123.21,4123.62,4120.99,4123.62,507,8,0
2026-07-23 01:15:00,4124.02,4125.28,4120.69,4123.95,1173,14,0
2026-07-23 01:20:00,4123.78,4125.94,4122.0,4122.96,1226,8,0
2026-07-23 01:25:00,4122.98,4128.81,4122.68,4128.65,1242,7,0
2026-07-23 01:30:00,4128.68,4129.82,4125.58,4125.68,1036,8,0
2026-07-23 01:35:00,4125.68,4127.98,4124.01,4125.52,1284,8,0
2026-07-23 01:40:00,4125.55,4126.05,4119.91,4121.5,1234,8,0
2026-07-23 01:45:00,4121.43,4125.62,4120.59,4124.61,1070,7,0
2026-07-23 01:50:00,4124.55,4126.01,4121.1,4123.47,1591,8,0
2026-07-23 01:55:00,4123.52,4126.7,4120.68,4121.65,1510,7,0
2026-07-23 02:00:00,4121.65,4122.85,4117.13,4118.57,1644,12,0
2026-07-23 02:05:00,4118.57,4119.1,4116.45,4118.23,1213,11,0
2026-07-23 02:10:00,4118.23,4124.74,4116.59,4123.9,1451,7,0
2026-07-23 02:15:00,4123.86,4124.11,4119.77,4120.47,935,23,0
2026-07-23 02:20:00,4120.43,4122.16,4119.34,4120.66,544,24,0
2026-07-23 02:25:00,4120.66,4122.53,4119.15,4119.95,916,9,0
2026-07-23 02:30:00,4120.0,4122.5,4119.08,4120.5,682,8,0
